"","Recall_comprehension","Recall_writing","Recall_check1","Recall_check2","study_order","ManiCheck_esteem_1","ManiCheck_esteem_2","ManiCheck_esteem_3","ManiCheck_mean","Exp1_check","Exp1_prob_hiring","Exp1_loyalty","Exp1_honesty","Exp2_S1_check","Exp2_S1_seen_wrong","Exp2_S1_self_action","Exp2_S1_guide_other","Exp2_S2F_check","Exp2_S2F_seen_wrong","Exp2_S2F_self_action","Exp2_S2F_guide_other","Exp2_S2M_check","Exp2_S2M_seen_wrong","Exp2_S2M_self_action","Exp2_S2M_guide_other","MASC_set1_1","MASC_set1_2","MASC_set1_3","MASC_set1_4","MASC_set1_5","MASC_set1_6","MASC_set1_7","MASC_set1_8","MASC_set2_1","MASC_set2_2","MASC_set2_3","MASC_set2_4","MASC_set2_5","MASC_set2_6","MASC_set3_1","MASC_set3_2","MASC_set1_mean","MASC_set2_mean","MASC_set3_mean","BIDR_self_deceptive","BIDR_impre_manage","age","gender","origcount","residence","soc_class","engunder","funnel_pay","assignmentId","hitId","CountryCode","CountryName","Duration__in_seconds_","condition","Exp2_S2_seen_wrong_T2","Exp2_S2_self_action_T2","Exp2_S2_guide_other_T2"
"12",1,"I took 2 extra hours of overtime that I really didn't work about 2 years ago.  No one noticed but I felt awful about it, never did again.","regretful",1,"Exp1First",4,6,6,5.33333333333333,1,1,1,2,3,9,1,1,NA,NA,NA,NA,1,2,7,7,3,2,3,2,3,2,2,3,5,2,7,6,4,6,6,2,3.5,4.25,4,0,12,36,1,"USA","USA",2,7,5,"3GU1KF0O4I2BTQ6CWQU3A0GPJORPB4","3H4IKZHALBJB5UM3TYGI8MF5YBXNN6","","",513,"Dissonance_write",2,7,7
"13",1,"I was trying to reach my goal on Mturk so I took a survey that I wasn't really qualified for and I lied on it, just so I could complete the task and get paid for the false data.","I feel guilty and ashamed because I know it was wrong and that I messed up the researcher's data.",1,"Exp1First",4,4,5,4.33333333333333,1,3,3,5,3,8,5,2,1,9,1,2,NA,NA,NA,NA,1,1,1,4,1,1,1,1,4,1,6,4,7,1,4,7,2.9375,3.66666666666667,5.5,7,6,48,1,"USA","USA",3,7,4,"33FBRBDW6O09X3Z1O9ONZYRHCZR8CA","35A1YQPVFEHF1456SI749XJ2LR3I5V","","",868,"Dissonance_write",9,1,2
"14",1,"Many years ago I was dating someone that one of my best friends didn't approve of.  As my relationship with that boyfriend became more serious, she got more and more disapproving. Eventually I ended my friendship with her and chose my boyfriend instead.  It was unethical because I was close friends with her for a long time and I shouldn't have chosen him over a close friend.","Looking back, it was clearly a mistake. She was a great friend and was just concerned about what was best for me.  I ended up breaking up with him a few months later and I realized she was right all along.  I regret letting that friendship go the way I did.",1,"Exp2First",6,4,6,5.33333333333333,1,1,1,1,3,8,1,1,1,6,1,1,NA,NA,NA,NA,6,1,4,3,6,5,4,5,4,7,5,6,4,5,2,7,4.375,4.33333333333333,4.5,5,5,56,2,"US","US",4,7,3,"3DR23U6WE5F7SLB3NY5DGIN7BOPETY","3NKW03WTLM8MVL891RZM8ZN1WYOWQT","","",958,"Dissonance_write",6,1,1
"15",1,"One time when I acted dishonestly was when I told a secret that my friend had told me to someone else. My friend confronted me and asked me if I had told anyone what she told me and I lied and said no. To this day I've never admitted it.","Guilty, because not only did I tell her secret I lied to her about doing it.",1,"Exp2First",4,5,4,4.33333333333333,1,3,5,3,3,7,3,3,NA,NA,NA,NA,1,3,6,6,3,3,2,4,5,4,3,5,4,2,4,5,5,2,5,3,4.0625,3.58333333333333,4,2,1,61,2,"United states","United States",3,7,6,"3NGI5ARFTT6AGSOKUT1E4O3GXC0P1L","31KSVEGZ34TM7MN9E6OMDPX6SKQWRU","","",960,"Dissonance_write",3,6,6
"16",1,"I reported that I worked more hours at my job than I actually did so that I would have a higher paycheck.","Guilty",1,"Exp1First",6,6,6,6,1,1,3,2,3,7,9,8,NA,NA,NA,NA,1,1,9,9,4,2,5,6,6,6,4,4,2,7,7,5,7,4,6,7,4.5625,4.41666666666667,6.5,8,1,40,2,"United States","United States",3,7,6,"3JPSL1DZ5S067VP7AXHFB0RO1R5ANY","3XQ4XW3OD9DCWLPFFBZKFSMDAFES2W","","",597,"Dissonance_write",1,9,9
"17",1,"There was a very long line for tickets for this superhero movie. Being single file and very long, cutting anyone would've made me feel very bad. That would be, if it weren't for the kids already cutting the line. Using my small physique to blend in a group of these kids I managed to snag myself tickets before there weren't any left. The decision was beneficial for me, however, there were plenty of people left unattended for as the small capacity.","I didn't end up liking the anticipated movie anyway, so I feel bad having exploiting the rush for my selfish desire.",1,"Exp2First",6,6,4,5.33333333333333,1,3,1,1,3,2,6,7,NA,NA,NA,NA,1,1,1,7,2,1,5,5,4,1,2,3,3,3,5,2,2,5,7,5,3.6875,3.41666666666667,6,5,7,47,2,"United States","United States",3,7,3,"345LHZDEDXTJI0AVYJER2N5C3D63UN","3D3B8GE892SQJDUM83A5UAPGT1HP95","","",808,"Dissonance_write",1,1,7
"18",1,"I went with a woman on vacation when she offered to pay, although I knew that she wanted a serious relationship and I didn't.","I feel guilty that it happened and she got hurt.",1,"Exp1First",1,4,3,2.66666666666667,1,1,5,1,3,9,1,1,1,9,1,3,NA,NA,NA,NA,1,1,1,4,1,1,1,1,4,7,3,6,4,5,7,6,2.9375,4.16666666666667,6.5,3,5,50,1,"United States","United States",2,7,5,"3AQF3RZ558JTW10NMWHQNQGT3HT6FX","3B623HUYJ4RNI0R4VS8LPJZGWF6S8Z","","",1114,"Dissonance_write",9,1,3
"19",1,"Very recently I ate all of the pickles, and I knew that my dad wanted to eat them later.","I feel satiated right now.",1,"Exp2First",6,6,6,6,1,3,3,3,3,7,3,5,1,7,1,3,NA,NA,NA,NA,3,3,2,2,3,3,2,2,6,5,6,5,4,4,5,5,3.5,4.25,5,0,5,30,1,"USA","USA",4,7,3,"3NG53N1RLVKSRS85TEATJYQOBI7P86","3QREJ3J433YK9OYFK88N32UCZLSKLW","","",534,"Dissonance_write",7,1,3
"20",1,"I lied to my business partner about a deal I worked on and didn't pay him on it even though I probably should have.","Guilty, untrustworthy. I betrayed his trust and that makes me feel bad.",1,"Exp1First",3,3,4,3.33333333333333,1,3,1,3,3,3,7,6,NA,NA,NA,NA,1,1,9,9,5,6,6,6,6,7,6,5,2,5,5,3,4,2,5,3,5.1875,3.5,4,5,1,40,1,"United States","United States",4,7,7,"3LRKMWOKB5IBJH8M06ZU05FZZHL2Z0","3MG8450X2OBO35IP6E5WQ6CU6MRUP1","","",560,"Dissonance_write",1,9,9
"21",1,"I cheated on my ex boyfriend and never told him about it. I went behind his back and deceived his trust. I was not loyal and I took advantage of our relationship.","I feel guilty and ashamed about what I did.",1,"Exp2First",3,4,4,3.66666666666667,1,3,4,4,3,9,1,1,1,1,9,6,NA,NA,NA,NA,7,4,6,5,5,6,6,7,3,3,5,4,5,4,5,4,5.125,3.75,4.5,10,1,27,2,"usa","usa",2,7,2,"3N1FSUEFL51IJUIDC2TL2STUVD7D48","3NCN4N1H1GI94LX6Q8B9HRFBHMJNBH","","",924,"Dissonance_write",1,9,6
"22",1,"Not too long ago I was visiting my parents and I stole some gardening tools from them. The primary reason is because I know they are well off and I struggle financially.","Guilty. I feel Guilt because I know stealing is wrong and its shameful to steal from your own parents.",1,"Exp1First",4,4,7,5,1,3,1,2,3,5,3,1,1,2,5,1,NA,NA,NA,NA,2,5,6,5,6,6,6,6,5,4,1,3,3,5,7,7,4.875,3.5,7,0,8,35,1,"United States","United States",2,7,1,"3CN4LGXD5XPLH5D48YGZFD3VD1D4Y7","31GN6YMHLPTY81NMTVOR3Z22EM9WSI","","",911,"Dissonance_write",2,5,1
"23",1,"At work I had to lie to a customer about their order. They were expecting an order and the manager accidentally forgot to put the order in so the customers order was late and we told them it was because it was on back order","I felt really guilty and deceitful",1,"Exp2First",4,3,7,4.66666666666667,1,1,1,1,3,9,1,1,1,3,7,6,NA,NA,NA,NA,5,3,5,6,4,7,4,7,1,7,7,7,4,5,5,7,4.8125,4.33333333333333,6,7,1,39,2,"USA","USA",2,7,7,"3C6FJU71TQUKY37JN47HSH1PCE1YUO","3E22YV8GG17B8FYG9DTACBK0YQYNP2","","",1315,"Dissonance_write",3,7,6
"24",1,"I told a lie to avoid getting into trouble with an authority figure.  I was protecting myself by being untruthful.","I feel  guilty for lying.",1,"Exp2First",4,2,5,3.66666666666667,1,1,1,1,3,5,2,2,1,3,1,1,NA,NA,NA,NA,4,1,1,4,5,2,1,4,3,3,2,4,6,4,3,2,3.625,3.58333333333333,2.5,6,8,43,1,"United States of America","United States of America",1,7,2,"37M28K1J0QEAO5YMVZPNITA7S71JA4","3PIOQ99R7YNO0K6CQZS4MH7Z67QUN5","","",1027,"Dissonance_write",3,1,1
"25",1,"About twelve years ago I had developed a gambling problem.  I started to want to chase my losses at the casino, so I began to sell everything I could get my hands on to keep my habit up.  I ended up selling a pair of my wife's boots to gamble.","pathetic",1,"Exp1First",2,1,5,2.66666666666667,1,1,1,1,3,9,1,1,1,1,5,5,NA,NA,NA,NA,7,2,2,2,4,2,7,5,3,4,5,6,5,1,5,5,4.1875,3.75,5,7,5,45,1,"usa","usa",4,7,6,"3JC6VJ2SABK2H6J16XLTHJR2A67A5A","3RWB1RTQDJOQ58BC3B4RUEU59VZP8G","","",783,"Dissonance_write",1,5,5
"26",1,"I spread questionable rumors about a coworker. It was a long time ago, during a period when I was very insecure and had a tendency toward attention-seeking behavior.","shame and regret",1,"Exp1First",6,5,6,5.66666666666667,1,2,2,2,3,7,5,3,NA,NA,NA,NA,1,3,2,2,7,7,5,4,5,5,5,6,6,5,5,5,6,5,5,6,5,4.41666666666667,5.5,6,5,66,2,"USA","USA",3,7,5,"3S0TNUHWKTJJ2V5FO5JYJ49ZXZ58DC","31GN6YMHLPTY81NMTVOR3Z22EM9WSI","","",684,"Dissonance_write",3,2,2
"27",1,"At work I brought my own laptop and hid it under my shelf.  When I had time available, I would go on Mturk and do jobs in order to make money while I was already working at my regular job.  I know I wouldn't be allowed to do this if my boss knew, and I couldn't use my work computer, because they can go back and find out you were working 2 jobs at once.","I feel a bit guilty, but I'd rather make use of free time at work and make some extra money.  I also feel a little nervous my boss would find out and I'd get in trouble.",1,"Exp1First",5,5,5,5,1,1,2,3,3,2,5,4,NA,NA,NA,NA,1,3,4,4,7,3,2,4,6,3,5,6,4,3,6,5,4,3,7,7,4.5,3.83333333333333,7,0,2,37,2,"United States of America","United States of America",4,7,6,"3DH6GAKTYYQ1K21TTR6P99G4EWHZYF","351S7I5UG9XFM4VIE0OQFFYOPRSNJ2","","",714,"Dissonance_write",3,4,4
"28",1,"It was SLIGHTLY unethical; it had to do with giving something to a woman who my girlfriend didn't like.","Regret",1,"Exp1First",4,5,7,5.33333333333333,1,4,5,5,3,8,1,1,1,6,2,3,NA,NA,NA,NA,1,1,1,1,1,1,2,4,7,6,7,6,6,6,4,4,3,4.91666666666667,4,2,16,55,1,"United States","United States",2,7,5,"3ERMJ6L4DYTI6B69RTQVOU0YVTR7M6","3XEIP58NL0OFYJX1K9BXQHIP3U5ZLX","","",695,"Dissonance_write",6,2,3
"29",1,"i was recently divorced and was left with no savings. a nice check was mailed to be place with my ex wifes name. i forged her signiture and deposited the money in a bank account. i kept the money for myself","at the time i was desparate and felt guilty",1,"Exp2First",6,5,6,5.66666666666667,1,2,2,2,3,3,7,7,1,5,5,5,NA,NA,NA,NA,6,4,5,5,6,4,5,6,3,2,6,6,6,3,7,5,4.8125,3.91666666666667,6,1,5,67,1,"usa","usa",2,7,7,"3TE3O8573092HQMVQP5HE2D0Q042R9","3BO3NEOQM0IC7AHNNEYLH8ZOD54IA1","","",996,"Dissonance_write",5,5,5
"30",1,"At a job I had in the past the manager was a complete jerk to me.  It seemed as though they didn't like me at all and never would.  One day when I was told to do something by the manager, I cheated and filled out the information instead of having the person that was supposed to fill out the information, and kind of forged their signature for compliance purposes. I didn't feel like doing anything for this manager.","I felt very guilty as I normally don't lie, cheat or steal. Even though I hated my boss.",1,"Exp2First",5,2,5,4,1,3,2,2,3,9,1,1,1,8,2,3,NA,NA,NA,NA,3,2,1,3,3,3,2,2,5,4,5,3,5,4,6,5,3.4375,3.91666666666667,5.5,1,9,57,2,"USA","USA",1,7,5,"35H6S234SA11U47YGK4H1EPGENH56F","3PA41K45VN5M5U6TT6CLGEYAYBTP7T","","",1097,"Dissonance_write",8,2,3
"31",1,"When I was a little kid I once stole candy from my sister. It was her Halloween candy and she had a lot of it and I wanted to eat some it the items I really liked. She never found out what I did but I still felt bad about it.","Shame. Because I should not have taken what was not mine.",1,"Exp1First",4,4,4,4,1,1,1,1,3,9,1,1,NA,NA,NA,NA,1,2,5,2,1,1,1,1,1,1,4,1,4,3,2,2,4,1,7,4,2.9375,3.08333333333333,5.5,3,16,34,1,"US","US",4,7,3,"34HJIJKLP5X4DBIZ3NTF8EZ1VKCV4Q","3Y7LTZE0YTNIH9KVTN3YH4E8GLYZUR","","",867,"Dissonance_write",2,5,2
"32",1,"I behave unethically when I knowingly violated an anti-smoking regulation.  I smoked in a stairwell where it was prohibited.  It no doubt caused discomfort to the people who later used the stairwell as smoke lingers.  It was very selfish.  I knew it was wrong but did it anyway.
","I felt guilty afterward.  I felt small.",1,"Exp1First",3,5,7,5,1,1,1,1,3,9,1,1,1,9,1,1,NA,NA,NA,NA,2,5,4,3,5,4,4,5,5,7,4,4,7,4,7,7,4.25,4.33333333333333,7,6,14,67,2,"United States","United States",5,7,4,"3LS2AMNW5FRGCWW008EEGP6YVJWQO0","34D9ZRXCYRV11OKJSQSZLA5BM36SA3","","",1884,"Dissonance_write",9,1,1
"33",1,"I took credit for an idea for a lesson that another teacher had.  More to the point I didn't give them credit when I was given credit for it.  I didn't speak up to correct my principal and I should have.","Guilty",1,"Exp2First",5,3,7,5,1,2,3,6,3,9,1,1,NA,NA,NA,NA,1,1,8,7,2,2,2,4,6,5,5,3,5,5,5,6,3,2,7,6,4.0625,3.91666666666667,6.5,1,5,38,1,"United States","United States",4,7,5,"36DSNE9QZ5ZZQ9SN5IU5JOUCHO4OJ7","3NKW03WTLM8MVL891RZM8ZN1WYOWQT","","",714,"Dissonance_write",1,8,7
"34",1,"When doing business with a client as a new salesman, I was motivated by my staff to over-charge for a service to which I went about doing. I am not proud of it in retrospect, but I was advised that ""sales was sales.""","I am not happy that I elected to proceed in such a fashion.",1,"Exp1First",4,4,4,4,1,5,2,3,3,8,2,3,NA,NA,NA,NA,1,8,2,2,5,6,6,5,5,5,5,5,7,6,4,6,7,6,6,5,4.875,4.75,5.5,2,11,32,1,"United States","United States",5,4,4,"3XIQGXAUMC9T0N5D50S4ZBGW2XAX7F","3RWB1RTQDJOQ58BC3B4RUEU59VZP8G","","",400,"Dissonance_write",8,2,2
"35",1,"There was still a slice of birthday cake for a relative, which I snuck out and ate overnight while everyone asleep. no one knew i did it, but I felt bad.","Slightly bad",1,"Exp1First",6,5,6,5.66666666666667,1,4,3,4,3,7,4,3,1,5,4,5,NA,NA,NA,NA,6,2,2,5,3,5,2,5,4,6,4,5,6,5,5,4,4.125,4.25,4.5,4,11,29,1,"USA","USA",2,7,4,"33LK57MYLT64OGPKULE0RNS3XBKZS0","39KV3A5D188JIMMLLNGFBJ3LLV0S7C","","",883,"Dissonance_write",5,4,5
"36",1,"A time I behaved unethically was two weekends ago. I was driving home from a bar drunk and tried to lie to the police that pulled me over. I was arrested and have since been banned from that bar, despite them overserving me.","I feel ashamed of my behavior and feel that it does not reflect my true character",1,"Exp2First",5,5,5,5,1,7,6,3,3,7,2,1,1,4,6,1,NA,NA,NA,NA,3,1,2,3,4,3,5,1,5,3,7,6,7,7,5,2,3.625,4.66666666666667,3.5,6,1,22,2,"United States","United States",2,7,6,"3WYP994K17SZWSHIRM9ECBN99SSY6V","3OPLMF3EU5OLHUJIHL03VUBGTG2NL9","","",337,"Dissonance_write",4,6,1
"37",1,"I took a newborn kitten from an adoption shelter without paying the fee.","Horrible. I broke the law and it is so unlike my normal behavior.",1,"Exp2First",5,4,6,5,1,7,7,7,3,7,8,8,NA,NA,NA,NA,1,5,8,8,2,1,2,4,6,2,5,3,6,7,5,6,7,4,7,7,3.8125,4.66666666666667,7,7,7,58,2,"England","United States of America",4,7,7,"3OJSZ2ATDSXKY4L3ZU997SPC9Y957M","3L55D8AUFAYMQPTQBAGF9RJ03RSYCU","","",918,"Dissonance_write",5,8,8
"38",1,"I had planned to go for a fun bike ride one weekend but the weather was going to be bad when I had free time. So, I called in sick to work in order to go have fun even though it put an unfair stress on my coworkers. I never told anyone at the office and they all felt bad that I felt sick.","I feel guilty about the event.",1,"Exp2First",2,2,3,2.33333333333333,1,1,1,1,3,7,3,2,NA,NA,NA,NA,1,3,6,7,4,2,4,3,1,4,3,1,5,2,5,5,6,5,6,6,3.625,4.08333333333333,6,2,8,42,1,"United States","United States",3,7,4,"3OS46CRSLF0ISYMDMBMU5CJFRBQV6J","3TZ0XG8CBUL5DLV5MM8U8OUQ4RN89A","","",902,"Dissonance_write",3,6,7
"39",1,"I called my best friend a bad name.  I didn't really feel guilty about it.  I was selfish because I was mad and didn't want to own up to my fault in the problem of the situation.","sad",1,"Exp1First",2,2,2,2,1,2,2,2,3,9,1,1,NA,NA,NA,NA,1,9,1,1,1,1,1,1,1,1,1,1,6,6,5,5,5,5,7,7,2.75,4.41666666666667,7,3,13,48,2,"USA","USA",4,7,7,"3FE2ERCCZX9VCKVL0VZPGKGOQNKPOI","3VADEH0UHCY8OSQLH9AWB5U6LPBPSL","","",635,"Dissonance_write",9,1,1
"40",1,"I have talked about a friend behind the friend’s back, which I believe to be disloyal and therefore something I should not ethically do.","I feel ashamed for being disloyal.",1,"Exp1First",3,3,5,3.66666666666667,1,1,1,1,3,9,1,1,1,9,1,1,NA,NA,NA,NA,5,3,4,4,3,4,2,4,4,3,4,5,4,5,7,5,4.0625,3.83333333333333,6,4,8,63,2,"USA","USA",4,7,7,"33F859I566EJG98ODDMY1REYXXRHB1","3N5YJ55YXG44LBSEKUBDMGV5Z43NAR","","",891,"Dissonance_write",9,1,1
"41",1,"I once told a girlfriend that I had stopped drinking and I had for over two years. But alas I started drinking beer on occasion and never told her. I felt bad not telling her.","Shame and guilt",1,"Exp1First",6,6,6,6,1,1,1,1,3,9,1,1,1,7,2,2,NA,NA,NA,NA,2,3,1,2,2,1,2,1,7,2,7,7,7,4,1,2,3.125,4.58333333333333,1.5,1,12,73,1,"United States","United States",4,7,4,"3VBEN272MK04XZUF4TQB6GCXML0SGE","3ZG552ORAM5SOD6J964PQF6K9JE2VH","","",836,"Dissonance_write",7,2,2
"42",1,"one time I took $5.00 from my daughter without her knowing it.","very guilty and ashamed",1,"Exp1First",6,6,6,6,1,4,3,3,3,9,1,1,NA,NA,NA,NA,1,2,8,7,5,5,4,4,5,2,6,3,5,6,2,4,4,5,5,5,4.375,3.91666666666667,5,3,9,69,2,"united states","united states",3,7,7,"33SA9F9TRXVZK2FXI3AO32U6FIHWEG","3N5YJ55YXG44LBSEKUBDMGV5Z43NAR","","",919,"Dissonance_write",2,8,7
"43",1,"I had a dentist appt set up for months and had even confirmed but on the day of the appt I just didn't feel like getting dressed and going out so I called the dentist office and told them I was sick and I would have to reschedule. I feel bad about this because I cancelled at the last minute and I lied.","I feel guilty of the lie and the inconvenience caused",1,"Exp1First",2,2,3,2.33333333333333,1,2,2,2,3,8,2,2,NA,NA,NA,NA,1,4,6,6,4,4,5,4,5,6,2,5,4,3,5,7,7,4,6,4,4.4375,4.25,5,8,2,73,2,"usa","usa",1,7,7,"37Z929RLG99824GLOTPI5ZRMCF9STO","38VTL6WC4AE1R4KBW0T7VLDQBA6Y5M","","",670,"Dissonance_write",4,6,6
