"","study_order","ManiCheck","Exp1_prob_hiring","Exp1_loyalty","Exp1_honesty","Exp2_S1_seen_wrong","Exp2_S1_self_action","Exp2_S1_guide_other","Exp2_S2F_seen_wrong","Exp2_S2F_self_action","Exp2_S2F_guide_other","Exp2_S2M_seen_wrong","Exp2_S2M_self_action","Exp2_S2M_guide_other","MASC_set1","MASC_set2","MASC_set3","BIDR_self_deceptive","BIDR_impre_manage","age","gender","origcount","residence","soc_class","engunder","funnel_pay","assignmentId","hitId","CountryCode","CountryName","condition","Exp2_S2_seen_wrong_T2","Exp2_S2_self_action_T2","Exp2_S2_guide_other_T2"
"18","Exp1First",3.16666666666667,5,4,6,4,5,2,6,6,2,NA,NA,NA,4.375,3.41666666666667,6,6,7,14,3,"Natoque wisi. Ac pharetra facilisis est sem? Ligula, est elementum! Nulla dui consequat. Phasellus.","Maecenas mattis sapien malesuada per. Lectus, pretium urna ultrices sagittis est sagittis ultricies? Dictumst dolor.",3,7,6,"","","","","Dissonance_write",6,6,2
"19","Exp1First",3,6,5,1,6,4,6,NA,NA,NA,1,5,4,4.875,4.08333333333333,6,4,7,48,1,"Magna venenatis mi natoque vitae ultricies egestas diam pede! Sodales nonummy interdum temporibus.","Luctus platea convallis donec tempus magna dapibus elit. Nec vivamus amet.",5,1,2,"","","","","Dissonance_write",1,5,4
"20","Exp2First",2.83333333333333,7,3,8,7,7,7,NA,NA,NA,6,5,3,4,4.16666666666667,5,6,4,37,4,"Quis sollicitudin tincidunt? Mi venenatis fermentum malesuada venenatis lorem sem.","Felis dolor integer! Est accusamus fermentum elementum tortor iaculis quis wisi phasellus sem pharetra. Nibh.",3,7,5,"","","","","Dissonance_write",6,5,3
"21","Exp1First",3,7,7,1,1,1,6,NA,NA,NA,4,4,8,4.1875,4,4,4,8,89,4,"Gravida. Porttitor, eu, dictumst velit ultricies porttitor, magna ab ac.","Accumsan praesent consequat. Lorem temporibus. Nunc. Aenean lorem. Risus ridiculus.",4,3,3,"","","","","Dissonance_write",4,4,8
"22","Exp2First",4,3,7,4,3,6,8,4,2,9,NA,NA,NA,4.625,3.5,1.5,8,7,16,3,"Suscipit. Tempus. Ipsum! Sit gravida neque dolor tempus viverra per ipsum.","Tempor auctor rutrum ligula eleifend porta. Id fermentum, et per mattis felis, malesuada.",4,2,6,"","","","","Dissonance_write",4,2,9
"23","Exp1First",3.5,2,9,6,4,3,2,NA,NA,NA,9,4,4,4.5,3.33333333333333,5,7,6,70,1,"Rutrum aliquet urna a, dolor facilisis massa euismod aenean pede! Ridiculus.","Rutrum culpa enim blandit tortor purus magna integer? Et? Sodales! Commodo sagittis.",2,4,5,"","","","","Dissonance_write",9,4,4
"24","Exp2First",2.83333333333333,5,3,7,7,2,1,4,2,2,NA,NA,NA,4.1875,3.75,5.5,8,2,63,4,"Eleifend volutpat facilisi per laoreet! Rhoncus euismod vulputate etiam suspendisse venenatis risus fermentum! Temporibus platea.","Lorem a, ligula. Dolorem pellentesque egestas elementum nonummy urna nunc tellus dolor.",1,5,7,"","","","","Dissonance_write",4,2,2
"25","Exp2First",2.16666666666667,8,2,6,1,7,3,NA,NA,NA,4,1,6,3.6875,4.08333333333333,3,7,6,12,3,"Ante sapien suscipit ipsum enim sapien sodales sem augue! Aliquet tempora rhoncus.","Ipsum morbi. Purus tempus lorem mattis suscipit? Cursus nonummy a tellus tortor.",2,3,2,"","","","","Dissonance_write",4,1,6
"26","Exp2First",1.66666666666667,8,9,8,9,1,5,6,9,1,NA,NA,NA,4.75,3.58333333333333,3,7,7,57,1,"Ligula. Mattis malesuada, venenatis temporibus. Duis tempora molestie porttitor auctor.","Montes malesuada, felis! Tellus magna vehicula elementum rutrum ultrices? Tempora fringilla wisi phasellus.",5,4,3,"","","","","Dissonance_write",6,9,1
"27","Exp1First",3.16666666666667,6,7,3,8,6,9,NA,NA,NA,6,1,7,3.9375,3.5,2.5,8,4,90,4,"Donec tempor vestibulum vitae volutpat platea. Dignissim, tincidunt felis ullamcorper.","Interdum integer ipsum massa viverra non vestibulum quam lorem wisi lectus lacus aliquet rutrum viverra.",5,6,7,"","","","","Dissonance_write",6,1,7
"28","Exp1First",3.33333333333333,2,8,1,8,8,3,NA,NA,NA,6,6,9,3.625,4,3.5,9,5,88,4,"Elit metus laoreet mattis. Accusamus neque sapien augue. Neque convallis.","Vel sapien a risus tortor consequat ullamcorper sed vehicula proin venenatis justo fermentum praesent wisi.",3,1,2,"","","","","Dissonance_write",6,6,9
"29","Exp1First",2.5,7,4,2,2,8,9,NA,NA,NA,2,1,8,4.125,4.16666666666667,4,3,10,87,4,"Natoque, vestibulum leo vestibulum accusamus molestie, rutrum elementum placerat, ab.","Lectus tincidunt lorem sagittis vitae. Potenti cras? Felis et vitae magna tempora iaculis mi vestibulum.",1,7,7,"","","","","Dissonance_write",2,1,8
"30","Exp2First",2.33333333333333,3,6,5,4,1,6,NA,NA,NA,6,9,2,4.25,3.83333333333333,4,7,5,93,1,"Non in consequat tempora nec. Augue, aliquam nibh, mauris urna. Integer nunc purus accusamus.","Tempus. Tincidunt facilisi urna? Aenean, praesent id felis euismod augue. Dolor.",2,6,5,"","","","","Dissonance_write",6,9,2
"31","Exp2First",3.16666666666667,1,5,9,9,3,4,NA,NA,NA,7,4,5,3.625,3.58333333333333,4,4,6,52,2,"Nibh odio praesent nunc ac aliquam magnis? Montes ultrices et. Eget. Auctor? Porta culpa.","Vehicula pede pharetra tempora vulputate gravida suspendisse wisi. Aenean faucibus curabitur.",6,2,1,"","","","","Dissonance_write",7,4,5
"32","Exp2First",2.5,2,4,1,8,4,7,2,1,6,NA,NA,NA,4,4.16666666666667,5.5,7,5,77,2,"Porta sed ridiculus. Venenatis pede. At id sagittis! Eleifend. Porta accusamus.","Sem amet elementum! Quam vulputate! Phasellus. Eros integer primis mauris egestas! Consequat malesuada.",3,7,2,"","","","","Dissonance_write",2,1,6
"33","Exp1First",4.16666666666667,2,2,2,3,9,1,NA,NA,NA,8,5,9,4.9375,3.33333333333333,5,4,5,62,1,"Dolorem cras accusamus sollicitudin mattis venenatis nec. A tempus nulla.","Auctor erat donec purus ipsum phasellus sollicitudin praesent dapibus risus, pretium? Vivamus, imperdiet. A.",2,5,4,"","","","","Dissonance_write",8,5,9
"34","Exp1First",3.33333333333333,1,6,1,8,3,5,NA,NA,NA,4,7,9,4.1875,4.25,3,6,5,52,4,"Accumsan? Ullamcorper elit. Eget vel. Quis. Justo potenti pellentesque, elementum fermentum sagittis nibh dapibus suscipit.","Tempora amet? Arcu pharetra sed euismod bibendum? Eget phasellus ultricies interdum ipsum donec enim et.",5,7,2,"","","","","Dissonance_write",4,7,9
"35","Exp1First",2.16666666666667,8,3,4,1,6,2,3,5,7,NA,NA,NA,3.625,3.91666666666667,3.5,4,6,1,3,"Sodales posuere natoque. Mauris accumsan ultricies tempora natoque! Nunc lectus id id morbi eleifend magnis.","Ligula, lorem? Imperdiet temporibus, lectus velit tortor morbi elit mi vulputate.",2,1,3,"","","","","Dissonance_write",3,5,7
"36","Exp2First",4.33333333333333,5,5,8,7,2,8,5,7,5,NA,NA,NA,4.5625,3.41666666666667,4.5,5,6,32,1,"Lectus? Facilisi turpis pharetra. Et ipsum rhoncus egestas. Dolorem, morbi fusce ac vulputate.","Vivamus atque? Lacus turpis arcu diam. Erat malesuada blandit morbi suscipit ultricies porta atque.",5,6,1,"","","","","Dissonance_write",5,7,5
"37","Exp2First",3.5,2,9,9,7,7,9,NA,NA,NA,8,4,4,4.1875,4.33333333333333,4.5,8,4,55,3,"Dui amet mi facilisi turpis pharetra volutpat mi porttitor nunc! Tempor blandit.","Eget sapien bibendum, mi ac. Tempora id urna commodo scelerisque metus risus tempora.",5,1,5,"","","","","Dissonance_write",8,4,4
"38","Exp1First",1.66666666666667,5,3,5,4,9,3,5,1,1,NA,NA,NA,3.9375,3.33333333333333,5.5,3,6,23,2,"Convallis! Cras wisi? Dolorem nullam dignissim molestie interdum nec et felis. Sem cursus. Consequat lectus.","Nonummy! Nonummy dolor per. Maecenas arcu ab magna duis ante vulputate.",2,6,7,"","","","","Dissonance_write",5,1,1
"39","Exp2First",2.66666666666667,9,6,9,7,2,8,9,8,4,NA,NA,NA,4.6875,3.75,4,3,6,72,1,"Diam sodales porta. Sodales sed suscipit est. Pretium euismod vehicula sit. Diam vitae orci.","Suscipit malesuada in imperdiet volutpat! Arcu imperdiet felis dui iaculis et purus! Facilisi eros.",4,4,4,"","","","","Dissonance_write",9,8,4
"40","Exp1First",3.5,7,6,6,8,3,3,2,6,4,NA,NA,NA,4.3125,4.5,7,6,6,13,4,"Ut venenatis nonummy rhoncus. Euismod? Suspendisse maecenas morbi eget! Felis! Etiam quis non nullam suscipit.","Vehicula turpis. Cursus, eros fusce! Sed! Vulputate. Fringilla placerat suspendisse diam purus ac imperdiet.",6,6,1,"","","","","Dissonance_write",2,6,4
"41","Exp2First",3,5,3,6,1,8,7,5,2,3,NA,NA,NA,4.75,2.83333333333333,1.5,2,3,83,4,"Temporibus turpis cursus scelerisque sollicitudin urna quis proin aliquam montes! Arcu.","Tincidunt ab consectetuer! Est ridiculus ultrices purus sodales aliquet suscipit ab pellentesque.",2,4,3,"","","","","Dissonance_write",5,2,3
"42","Exp1First",3.83333333333333,3,2,2,4,9,5,NA,NA,NA,8,2,4,3.9375,4.66666666666667,4,4,6,9,4,"Fermentum malesuada commodo culpa. Tempus mauris auctor culpa urna, dignissim.","Ullamcorper amet metus. Purus in lorem tempor duis. Amet nec cursus vestibulum.",4,2,6,"","","","","Dissonance_write",8,2,4
"43","Exp1First",2.66666666666667,5,6,9,9,6,9,6,5,4,NA,NA,NA,4.3125,3.75,2,7,8,62,2,"Duis eros atque erat suspendisse non amet volutpat egestas! Arcu.","Amet a vestibulum ac odio consectetuer! Nec tempus ab, pharetra? Urna. Eleifend.",2,2,5,"","","","","Dissonance_write",6,5,4
"44","Exp2First",3.33333333333333,7,3,9,9,7,7,NA,NA,NA,6,7,9,4.0625,3.5,2.5,9,6,66,1,"Dignissim dolor non ipsum, imperdiet natoque facilisi suspendisse, eu montes scelerisque? Nullam.","Suscipit elit ultrices. Est consectetuer vitae tempus phasellus? Volutpat suspendisse at nunc aliquam.",5,1,7,"","","","","Dissonance_write",6,7,9
"45","Exp1First",2.83333333333333,1,1,3,2,1,9,1,9,6,NA,NA,NA,3.875,3.16666666666667,2,4,9,27,1,"Primis donec. Quam nunc. Odio quis temporibus, gravida. Potenti mauris, malesuada.","Venenatis eleifend natoque sit. Tempor. Convallis vestibulum eleifend? Tempor, molestie mattis felis. Nunc.",4,2,3,"","","","","Dissonance_write",1,9,6
"46","Exp1First",3.16666666666667,2,2,9,6,2,9,NA,NA,NA,5,2,6,4.625,3,3.5,11,4,1,2,"Commodo. Donec ultricies accumsan rutrum! Luctus? Malesuada viverra! Amet ipsum vitae potenti.","Temporibus auctor, neque malesuada pede faucibus massa platea duis, pede lectus dapibus.",5,1,5,"","","","","Dissonance_write",5,2,6
"47","Exp2First",3.33333333333333,3,2,9,3,4,1,NA,NA,NA,5,4,2,3.9375,4,3,6,6,63,3,"Facilisis laoreet ut laoreet non purus placerat? Phasellus quam, aenean quam, in? Vel mi at.","Dui elementum ultrices fusce massa convallis cursus temporibus mi pretium ligula aenean.",2,4,2,"","","","","Dissonance_write",5,4,2
"48","Exp1First",2.66666666666667,7,1,5,5,7,5,NA,NA,NA,7,9,6,4.625,4.25,1,6,8,71,3,"Posuere felis rhoncus! Risus tempora ut sem pede placerat maecenas iaculis ante.","Dolorem! Dictumst vestibulum atque molestie consectetuer vestibulum pretium sapien viverra.",2,3,2,"","","","","Dissonance_write",7,9,6
"49","Exp2First",3.5,3,1,2,9,5,9,NA,NA,NA,5,2,6,4.375,4,4,5,4,7,4,"Sed ridiculus integer dui convallis ac erat. Ipsum luctus? Aliquet? Praesent felis ridiculus.","Amet accumsan maecenas vivamus metus imperdiet. At luctus justo consectetuer, augue gravida. Eleifend. Primis faucibus.",1,4,2,"","","","","Dissonance_write",5,2,6
"50","Exp1First",3.33333333333333,2,3,2,2,8,1,NA,NA,NA,8,8,3,3.25,3.58333333333333,4.5,2,5,92,4,"Metus sed per tincidunt nulla eleifend vulputate culpa dui rutrum. Placerat etiam.","Malesuada augue in iaculis. Potenti. Tellus luctus. Nunc? Dolorem, cras.",2,5,3,"","","","","Dissonance_write",8,8,3
"51","Exp1First",2,4,3,1,2,5,7,NA,NA,NA,1,5,1,4.0625,4,3.5,7,7,94,2,"Non sit orci aliquam integer commodo. Posuere ligula malesuada eleifend.","Magna tempus faucibus potenti at dignissim euismod. Et nec felis quam mauris.",2,6,2,"","","","","Dissonance_write",1,5,1
"52","Exp2First",3,6,5,3,7,7,2,3,5,8,NA,NA,NA,4.125,3.33333333333333,4,4,5,65,3,"Interdum interdum nulla aenean ultricies dictumst sem eget enim posuere platea ab tincidunt lorem elementum.","Nec? Aenean! Elit. Fermentum facilisis ultricies fringilla. Magnis cursus nec elit euismod tincidunt.",1,6,6,"","","","","Dissonance_write",3,5,8
"53","Exp2First",3,6,8,3,3,1,7,6,8,2,NA,NA,NA,4.125,2.75,1.5,5,8,85,2,"Neque odio mi montes! Dictumst! Tempor nibh lorem. Gravida, sagittis potenti. Cras temporibus.","Aliquam luctus facilisi arcu lacus arcu lacus arcu est lorem duis pretium felis malesuada.",1,2,4,"","","","","Dissonance_write",6,8,2
"54","Exp1First",3.5,7,2,4,3,6,7,NA,NA,NA,7,6,1,4.25,3.5,1.5,7,5,19,2,"Cras, praesent. Ipsum eleifend eleifend curabitur. Quis magna, ante fringilla nibh! Vitae curabitur. Proin.","Commodo amet ipsum pretium at! Commodo felis odio primis vivamus accumsan eleifend.",6,3,2,"","","","","Dissonance_write",7,6,1
"55","Exp1First",2.33333333333333,8,7,6,6,8,1,NA,NA,NA,9,3,3,3.9375,3.41666666666667,4.5,4,5,60,3,"Fusce sapien vestibulum aenean consectetuer convallis suscipit at platea! Nonummy purus. Eu proin.","Orci aenean? Lacus venenatis morbi elementum! Culpa! Dictumst velit. Molestie platea a donec.",5,5,6,"","","","","Dissonance_write",9,3,3
"56","Exp2First",3.16666666666667,3,8,4,9,8,7,NA,NA,NA,2,3,7,4.5625,3.75,3,7,6,55,3,"Eget. Eleifend dolor culpa rutrum tortor urna magna pharetra aenean euismod accumsan lorem cursus.","Cursus, bibendum maecenas duis dui phasellus montes erat nulla massa et.",2,5,3,"","","","","Dissonance_write",2,3,7
"57","Exp1First",3.83333333333333,6,5,9,2,6,7,NA,NA,NA,6,7,3,4.8125,3.41666666666667,6.5,8,7,3,1,"Id justo suscipit. Ab dolor! Nibh. Enim elementum a magnis praesent non accumsan.","Posuere primis fusce faucibus nec. Fermentum aliquam! Aenean at magna vehicula.",1,1,1,"","","","","Dissonance_write",6,7,3
"58","Exp1First",3,1,4,9,9,7,5,NA,NA,NA,8,4,5,5.0625,4.33333333333333,4.5,3,8,22,4,"Convallis suspendisse leo facilisis euismod nulla nec. Phasellus. Malesuada risus blandit.","A vel wisi turpis quis urna dolorem rutrum aenean sagittis morbi.",5,6,6,"","","","","Dissonance_write",8,4,5
"59","Exp1First",3.5,9,5,2,8,8,4,8,5,3,NA,NA,NA,4.3125,3.91666666666667,4,5,3,40,2,"Pharetra? In vitae ac non. Magnis fringilla arcu orci. Suscipit.","Viverra consequat tempora convallis pharetra id rhoncus eros proin et fringilla vehicula luctus purus.",4,6,2,"","","","","Dissonance_write",8,5,3
"60","Exp2First",3.5,9,1,3,7,7,6,8,8,3,NA,NA,NA,4.1875,3.25,5.5,7,6,76,4,"Suscipit purus maecenas. Primis porta tempor in faucibus ante cursus pharetra.","Dictumst. Vestibulum augue consectetuer pharetra arcu quam leo? Lectus temporibus egestas wisi.",3,5,6,"","","","","Dissonance_write",8,8,3
"61","Exp1First",3.33333333333333,3,8,8,3,5,4,9,3,7,NA,NA,NA,4.3125,4.5,3,8,5,30,1,"Nibh ipsum praesent euismod. Placerat? Ultrices facilisi accusamus aenean? Metus.","Natoque tempora pretium eleifend placerat atque donec leo neque tempora. Nulla.",4,7,6,"","","","","Dissonance_write",9,3,7
"62","Exp2First",2.33333333333333,4,9,6,6,1,3,NA,NA,NA,1,7,3,4.375,3.58333333333333,4,5,7,60,4,"Diam aenean a mauris lorem nulla proin nonummy aenean duis. Sem ipsum platea. Facilisi eu.","Ab cras suspendisse mattis nec justo felis vestibulum venenatis urna.",5,3,5,"","","","","Dissonance_write",1,7,3
"63","Exp2First",2.5,9,1,4,3,1,3,2,7,2,NA,NA,NA,4.25,4.16666666666667,5.5,4,3,18,3,"Mattis imperdiet leo! Ultrices porttitor. Metus nonummy! Facilisi? Id. Commodo dictumst sollicitudin. Eros temporibus temporibus.","Suspendisse! Nonummy scelerisque morbi vulputate ac mi sollicitudin tortor culpa.",1,1,7,"","","","","Dissonance_write",2,7,2
"64","Exp1First",4,9,5,9,6,9,5,NA,NA,NA,7,7,8,4.1875,4.33333333333333,3,7,5,43,2,"Nec nec iaculis egestas ab lorem per sed. Venenatis arcu malesuada, phasellus.","Tellus! Viverra, morbi posuere. Fermentum. Viverra maecenas rhoncus donec sodales consequat.",2,3,1,"","","","","Dissonance_write",7,7,8
"65","Exp2First",3,9,7,7,4,5,3,3,1,5,NA,NA,NA,4.875,3.58333333333333,2,2,4,52,3,"Non justo sodales dignissim ultricies vulputate blandit! Ipsum elit duis. Ultricies.","Vivamus vestibulum aliquet fringilla. Risus? Elementum! Gravida natoque tempus tempus.",3,2,7,"","","","","Dissonance_write",3,1,5
"66","Exp2First",2.5,2,6,2,3,3,7,NA,NA,NA,8,8,7,4.1875,3.91666666666667,4.5,8,7,0,3,"Tempor lectus! Sodales consequat, quam luctus lorem ullamcorper. Consectetuer amet sollicitudin ligula commodo facilisi. Eleifend.","Ut bibendum lacus dolor elit consequat ab natoque cursus massa odio augue placerat mauris.",3,3,4,"","","","","Dissonance_write",8,8,7
"67","Exp1First",4.16666666666667,3,1,2,3,2,9,5,9,3,NA,NA,NA,4.125,4.25,6.5,7,3,99,3,"Tempus lorem sollicitudin tellus faucibus, scelerisque. Risus justo euismod aliquam wisi! Arcu.","Vestibulum etiam vehicula vitae a. Arcu sodales duis! Imperdiet! Pharetra, molestie gravida etiam consequat vivamus.",2,4,7,"","","","","Dissonance_write",5,9,3
"68","Exp1First",2.66666666666667,6,8,8,5,9,6,NA,NA,NA,8,9,8,4.625,3.41666666666667,4,4,6,65,3,"Natoque purus amet pretium vehicula arcu vel. Urna malesuada sit pharetra pretium.","Facilisi porttitor potenti commodo? Orci ultrices montes proin. Magnis arcu mauris.",3,3,7,"","","","","Dissonance_write",8,9,8
"69","Exp2First",2,6,8,6,4,9,4,4,9,9,NA,NA,NA,4.1875,3.25,5,4,5,9,4,"Eros donec ac. Dictumst vulputate elementum tincidunt amet accumsan pharetra eget. Mi suscipit.","Arcu sodales sapien. Molestie. Molestie leo tincidunt diam pede consectetuer platea! Nullam magnis proin.",4,6,1,"","","","","Dissonance_write",4,9,9
"70","Exp1First",2.5,4,2,6,1,4,4,NA,NA,NA,3,7,9,4.875,3.25,2.5,5,5,17,3,"Curabitur! Turpis maecenas risus neque tellus tempora a mauris platea purus. Sollicitudin urna.","Sit nullam etiam arcu accumsan? Fermentum vivamus molestie? Tortor rutrum.",5,4,3,"","","","","Dissonance_write",3,7,9
"71","Exp2First",3.33333333333333,9,7,4,5,8,1,7,4,1,NA,NA,NA,3.875,4.33333333333333,5.5,7,6,2,2,"Per dolor iaculis mattis phasellus, luctus id et luctus ultrices? Suspendisse. Interdum phasellus fringilla tortor.","Montes euismod tortor blandit iaculis nec nec non suspendisse vehicula.",4,6,3,"","","","","Dissonance_write",7,4,1
"72","Exp1First",3.33333333333333,7,7,4,1,8,7,6,7,7,NA,NA,NA,4.5625,4,6.5,6,8,1,4,"Ab faucibus odio consequat sem auctor egestas donec tincidunt! Accumsan nec natoque.","Ab? Sapien. Tempor velit auctor magna amet. Massa porttitor tempus ultrices potenti. Arcu.",5,1,5,"","","","","Dissonance_write",6,7,7
"73","Exp1First",1.83333333333333,6,1,7,3,1,6,NA,NA,NA,2,3,3,4.6875,4.91666666666667,1,6,3,41,1,"Platea pretium quis? Amet! Fringilla nibh elit arcu euismod montes fermentum imperdiet.","Non integer erat nonummy cursus erat, tincidunt! Maecenas? Accusamus posuere.",6,2,6,"","","","","Dissonance_write",2,3,3
"74","Exp2First",2.16666666666667,4,8,2,1,4,4,9,3,2,NA,NA,NA,4.5,4.08333333333333,4,6,8,83,2,"Accusamus platea, commodo neque. Mattis fusce? Rhoncus fusce dolor pede mi sagittis non.","Metus convallis pellentesque orci nullam ipsum lectus! Donec facilisis facilisi montes mi.",1,3,6,"","","","","Dissonance_write",9,3,2
"75","Exp1First",2.83333333333333,4,1,8,2,7,6,NA,NA,NA,5,9,1,4.3125,4,6,9,5,27,1,"Interdum facilisis augue diam? Primis tellus nulla, cras velit ultrices sodales leo sit ridiculus.","Justo molestie pellentesque consequat lacus enim euismod fusce. Temporibus commodo tortor maecenas scelerisque elit.",4,3,7,"","","","","Dissonance_write",5,9,1
